,small_col,small_row,big_col,big_row
0,44,35,53,47
1,54,35,143,44
2,976,35,1619,44
3,38,40,43,57
4,144,37,192,44
5,64,40,209,104
6,217,40,1343,104
7,1620,37,1623,54
8,33,45,37,63
9,210,43,216,46
10,1614,45,1619,49
11,1624,41,1627,59
12,26,50,34,1353
13,44,48,46,52
14,210,49,216,89
15,1344,49,1345,96
16,1346,49,1588,70
17,1629,46,1637,1356
18,1589,54,1595,89
19,40,57,85,735
20,1596,63,1605,98
21,1358,75,1360,84
22,1361,75,1530,78
23,1578,71,1588,79
24,1606,73,1623,1330
25,1584,80,1588,84
26,1594,90,1595,94
27,210,94,216,101
28,1387,100,1414,1128
29,1415,99,1416,104
30,1417,99,1454,102
31,1467,97,1586,217
32,86,105,91,109
33,143,105,194,106
34,222,105,238,106
35,245,105,270,117
36,603,105,735,106
37,150,107,168,197
38,169,107,183,116
39,184,107,186,112
40,233,107,239,113
41,609,107,630,223
42,631,107,640,129
43,641,107,729,123
44,1420,109,1466,110
45,1587,109,1592,117
46,189,115,231,183
47,1415,115,1416,122
48,172,117,176,122
49,249,118,269,209
50,1417,117,1454,120
51,170,121,171,128
52,244,121,246,129
53,329,124,346,242
54,348,123,354,175
55,355,123,358,146
56,359,123,365,140
57,366,123,387,135
58,388,123,449,131
59,432,125,450,241
60,470,125,490,241
61,491,123,497,174
62,498,123,512,151
63,513,123,532,144
64,533,123,588,133
65,648,124,654,131
66,655,124,660,128
67,661,124,729,125
68,749,124,773,269
69,774,123,777,175
70,778,123,783,162
71,784,123,788,142
72,789,123,869,138
73,889,124,909,359
74,910,123,928,159
75,929,123,939,152
76,940,123,971,146
77,972,123,1009,139
78,1046,123,1069,318
79,1070,123,1075,157
80,1076,123,1099,143
81,1100,123,1165,139
82,1193,123,1215,243
83,1216,123,1221,167
84,1222,123,1229,153
85,1230,123,1234,146
86,1235,123,1249,141
87,1250,123,1313,137
88,1465,124,1466,130
89,1587,124,1592,131
90,183,127,188,172
91,232,127,236,173
92,639,130,642,139
93,643,127,647,135
94,704,126,729,136
95,178,132,182,161
96,237,132,241,163
97,375,135,395,144
98,397,132,405,141
99,414,132,431,137
100,545,134,589,146
101,1415,132,1416,140
102,1417,135,1454,138
103,175,137,177,151
104,363,139,374,154
105,408,140,411,146
106,419,138,431,142
107,533,139,535,145
108,536,140,544,145
109,635,137,638,144
110,710,137,729,185
111,792,139,800,150
112,801,139,810,146
113,811,139,829,142
114,839,139,869,141
115,980,140,1009,145
116,1122,140,1165,142
117,1274,138,1313,144
118,1587,139,1592,146
119,169,141,170,199
120,359,144,362,163
121,375,145,376,150
122,377,145,383,147
123,412,144,415,148
124,424,143,431,149
125,651,143,695,208
126,789,141,791,154
127,830,141,832,148
128,833,144,837,153
129,845,142,869,148
130,972,145,976,155
131,1131,143,1165,145
132,1277,145,1313,148
133,1420,144,1466,146
134,430,150,431,166
135,554,147,562,154
136,563,147,589,151
137,645,149,650,203
138,784,146,788,157
139,839,147,841,159
140,847,149,869,170
141,962,147,971,150
142,977,149,1009,158
143,1139,146,1165,151
144,1283,149,1313,151
145,1415,150,1416,158
146,355,154,358,168
147,363,155,366,158
148,560,155,564,160
149,567,152,589,174
150,696,153,702,196
151,814,155,821,159
152,843,151,846,163
153,947,155,951,160
154,1100,155,1114,158
155,1144,152,1165,155
156,1290,152,1313,157
157,1417,152,1454,156
158,1587,153,1592,161
159,379,159,381,164
160,384,158,393,161
161,394,159,395,162
162,396,160,402,163
163,499,156,501,163
164,513,160,530,225
165,540,157,542,163
166,565,156,566,168
167,638,157,644,192
168,913,160,915,164
169,943,156,946,162
170,956,160,963,214
171,984,159,1009,162
172,1074,159,1075,162
173,1088,158,1090,170
174,1094,157,1096,162
175,1104,159,1122,165
176,1123,160,1130,209
177,1149,156,1165,160
178,1245,160,1246,166
179,1268,160,1271,164
180,1294,158,1313,168
181,1464,160,1466,166
182,363,164,379,209
183,543,162,546,167
184,634,165,637,186
185,925,163,927,167
186,990,163,1009,243
187,1070,163,1071,177
188,1135,165,1136,168
189,1154,161,1165,243
190,1243,164,1265,213
191,1278,164,1280,165
192,174,170,176,176
193,244,167,246,176
194,380,169,401,211
195,505,169,512,172
196,703,168,705,192
197,794,168,828,213
198,930,170,955,214
199,1081,167,1122,210
200,1131,170,1137,198
201,1138,167,1143,174
202,1144,170,1145,174
203,1284,168,1285,177
204,1299,169,1313,243
205,1415,170,1454,173
206,1587,168,1592,176
207,359,172,362,204
208,505,174,512,176
209,531,171,548,230
210,555,171,560,175
211,565,172,566,182
212,572,175,577,468
213,578,175,581,318
214,582,175,589,243
215,787,175,793,224
216,829,175,835,211
217,855,171,869,202
218,1232,175,1242,218
219,1266,174,1273,210
