,point_1,point_2,point_3,point_4,point_1
0,"(35, 44)","(35, 53)","(47, 53)","(47, 44)","(35, 44)"
1,"(35, 54)","(35, 143)","(44, 143)","(44, 54)","(35, 54)"
2,"(35, 976)","(35, 1619)","(44, 1619)","(44, 976)","(35, 976)"
3,"(40, 38)","(40, 43)","(57, 43)","(57, 38)","(40, 38)"
4,"(37, 144)","(37, 192)","(44, 192)","(44, 144)","(37, 144)"
5,"(40, 64)","(40, 209)","(104, 209)","(104, 64)","(40, 64)"
6,"(40, 217)","(40, 1343)","(104, 1343)","(104, 217)","(40, 217)"
7,"(37, 1620)","(37, 1623)","(54, 1623)","(54, 1620)","(37, 1620)"
8,"(45, 33)","(45, 37)","(63, 37)","(63, 33)","(45, 33)"
9,"(43, 210)","(43, 216)","(46, 216)","(46, 210)","(43, 210)"
10,"(45, 1614)","(45, 1619)","(49, 1619)","(49, 1614)","(45, 1614)"
11,"(41, 1624)","(41, 1627)","(59, 1627)","(59, 1624)","(41, 1624)"
12,"(50, 26)","(50, 34)","(1353, 34)","(1353, 26)","(50, 26)"
13,"(48, 44)","(48, 46)","(52, 46)","(52, 44)","(48, 44)"
14,"(49, 210)","(49, 216)","(89, 216)","(89, 210)","(49, 210)"
15,"(49, 1344)","(49, 1345)","(96, 1345)","(96, 1344)","(49, 1344)"
16,"(49, 1346)","(49, 1588)","(70, 1588)","(70, 1346)","(49, 1346)"
17,"(46, 1629)","(46, 1637)","(1356, 1637)","(1356, 1629)","(46, 1629)"
18,"(54, 1589)","(54, 1595)","(89, 1595)","(89, 1589)","(54, 1589)"
19,"(57, 40)","(57, 85)","(735, 85)","(735, 40)","(57, 40)"
20,"(63, 1596)","(63, 1605)","(98, 1605)","(98, 1596)","(63, 1596)"
21,"(75, 1358)","(75, 1360)","(84, 1360)","(84, 1358)","(75, 1358)"
22,"(75, 1361)","(75, 1530)","(78, 1530)","(78, 1361)","(75, 1361)"
23,"(71, 1578)","(71, 1588)","(79, 1588)","(79, 1578)","(71, 1578)"
24,"(73, 1606)","(73, 1623)","(1330, 1623)","(1330, 1606)","(73, 1606)"
25,"(80, 1584)","(80, 1588)","(84, 1588)","(84, 1584)","(80, 1584)"
26,"(90, 1594)","(90, 1595)","(94, 1595)","(94, 1594)","(90, 1594)"
27,"(94, 210)","(94, 216)","(101, 216)","(101, 210)","(94, 210)"
